Date,Open,High,Low,Close,Volume,Adj Close
13-04-2016,7777.149902,7864.799805,7772.200195,7850.450195,220400,7850.450195
12-04-2016,7669.25,7717.399902,7663.350098,7708.950195,163400,7708.950195
11-04-2016,7577.799805,7678.799805,7516.850098,7671.399902,179800,7671.399902
08-04-2016,7542.350098,7569.350098,7526.700195,7555.200195,143400,7555.200195
07-04-2016,7630.399902,7630.75,7535.850098,7546.450195,234400,7546.450195
06-04-2016,7636.049805,7638.649902,7591.75,7614.350098,165600,7614.350098
05-04-2016,7736.299805,7736.299805,7588.649902,7603.200195,203800,7603.200195
04-04-2016,7733.149902,7764.450195,7704.399902,7758.799805,155500,7758.799805
01-04-2016,7718.049805,7740.149902,7666.100098,7713.049805,183900,7713.049805
31-03-2016,7727.649902,7777.600098,7702,7738.399902,380100,7738.399902
30-03-2016,7651.100098,7741.950195,7643.450195,7735.200195,232600,7735.200195
29-03-2016,7606.549805,7652.899902,7582.25,7597,216800,7597
28-03-2016,7741,7749.399902,7587.700195,7615.100098,242400,7615.100098
23-03-2016,7717.450195,7726.850098,7670.600098,7716.5,199600,7716.5
22-03-2016,7695.549805,7728.200195,7643.799805,7714.899902,208900,7714.899902
21-03-2016,7619.200195,7713.549805,7617.700195,7704.25,196800,7704.25
18-03-2016,7534.649902,7613.600098,7517.899902,7604.350098,237400,7604.350098
17-03-2016,7557.399902,7585.299805,7479.399902,7512.549805,239600,7512.549805
16-03-2016,7457.049805,7508,7405.149902,7498.75,195400,7498.75
15-03-2016,7535.850098,7545.200195,7452.799805,7460.600098,193700,7460.600098
14-03-2016,7542.600098,7583.700195,7515.049805,7538.75,166900,7538.75
11-03-2016,7484.850098,7543.950195,7460.600098,7510.200195,198700,7510.200195
10-03-2016,7545.350098,7547.100098,7447.399902,7486.149902,224700,7486.149902
09-03-2016,7436.100098,7539,7424.299805,7531.799805,245100,7531.799805
08-03-2016,7486.399902,7527.149902,7442.149902,7485.299805,257000,7485.299805
04-03-2016,7505.399902,7505.899902,7444.100098,7485.350098,281700,7485.350098
03-03-2016,7429.549805,7483.950195,7406.049805,7475.600098,278600,7475.600098
02-03-2016,7321.700195,7380.350098,7308.149902,7368.850098,338500,7368.850098
01-03-2016,7038.25,7235.5,7035.100098,7222.299805,275100,7222.299805
29-02-2016,7050.450195,7094.600098,6825.799805,6987.049805,473400,6987.049805
26-02-2016,7039.299805,7052.899902,6985.100098,7029.75,206700,7029.75
25-02-2016,7029.850098,7034.200195,6961.399902,6970.600098,283100,6970.600098
24-02-2016,7075,7090.799805,7009.75,7018.700195,199700,7018.700195
23-02-2016,7240.299805,7241.700195,7090.700195,7109.549805,194400,7109.549805
22-02-2016,7208.850098,7252.399902,7200.700195,7234.549805,154400,7234.549805
19-02-2016,7170.549805,7226.850098,7145.950195,7210.75,192300,7210.75
18-02-2016,7177.399902,7215.100098,7127.850098,7191.75,246700,7191.75
17-02-2016,7058.850098,7123.700195,6960.649902,7108.450195,260000,7108.450195
16-02-2016,7201.25,7204.649902,7037.700195,7048.25,253800,7048.25
15-02-2016,7057.350098,7182.799805,7056.799805,7162.950195,354200,7162.950195
12-02-2016,7023.649902,7034.799805,6869,6980.950195,333900,6980.950195
11-02-2016,7203.600098,7208.649902,6959.950195,6976.350098,292300,6976.350098
10-02-2016,7264.299805,7271.850098,7177.75,7215.700195,246900,7215.700195
09-02-2016,7303.950195,7323.450195,7275.149902,7298.200195,212100,7298.200195
08-02-2016,7489.700195,7512.549805,7363.200195,7387.25,171500,7387.25
05-02-2016,7418.25,7503.149902,7406.649902,7489.100098,249800,7489.100098
04-02-2016,7411.450195,7457.049805,7365.950195,7404,222700,7404
03-02-2016,7392.450195,7419.399902,7350.299805,7361.799805,192000,7361.799805
02-02-2016,7566.649902,7576.299805,7428.049805,7455.549805,230200,7455.549805
01-02-2016,7589.5,7600.450195,7541.25,7555.950195,200400,7555.950195
29-01-2016,7413.350098,7575.649902,7402.799805,7563.549805,298700,7563.549805
28-01-2016,7426.5,7468.850098,7409.600098,7424.649902,274500,7424.649902
27-01-2016,7469.600098,7477.899902,7419.700195,7437.75,187600,7437.75
25-01-2016,7468.75,7487.149902,7421.200195,7436.149902,163156900,7436.149902
22-01-2016,7355.700195,7433.399902,7327.600098,7422.450195,229200,7422.450195
21-01-2016,7376.649902,7398.700195,7250,7276.799805,240700,7276.799805
20-01-2016,7357,7470.899902,7241.5,7309.299805,225600,7309.299805
19-01-2016,7381.799805,7462.75,7364.149902,7435.100098,188300,7435.100098
18-01-2016,7420.350098,7463.649902,7336.399902,7351,233600,7351
15-01-2016,7561.649902,7566.5,7427.299805,7437.799805,197500,7437.799805
14-01-2016,7467.399902,7604.799805,7443.799805,7536.799805,200800,7536.799805
13-01-2016,7557.899902,7590.950195,7425.799805,7562.399902,215200,7562.399902
12-01-2016,7587.200195,7588.299805,7487.799805,7510.299805,163900,7510.299805
11-01-2016,7527.450195,7605.100098,7494.350098,7563.850098,189000,7563.850098
08-01-2016,7611.649902,7634.100098,7581.049805,7601.350098,157400,7601.350098
07-01-2016,7673.350098,7674.950195,7556.600098,7568.299805,188900,7568.299805
06-01-2016,7788.049805,7800.950195,7721.200195,7741,147100,7741
05-01-2016,7828.399902,7831.200195,7763.25,7784.649902,145200,7784.649902
04-01-2016,7924.549805,7937.549805,7781.100098,7791.299805,134700,7791.299805
31-12-2015,7897.799805,7955.549805,7891.149902,7946.350098,150900,7946.350098
30-12-2015,7938.600098,7944.75,7889.850098,7896.25,106800,7896.25
29-12-2015,7929.200195,7942.149902,7902.75,7928.950195,113000,7928.950195
28-12-2015,7863.200195,7937.200195,7863,7925.149902,122900,7925.149902
24-12-2015,7888.75,7888.75,7835.5,7861.049805,93500,7861.049805
23-12-2015,7830.450195,7871.450195,7826.100098,7865.950195,117900,7865.950195
22-12-2015,7829.399902,7846.299805,7776.850098,7786.100098,125700,7786.100098
21-12-2015,7745.649902,7840.75,7733.450195,7834.450195,126300,7834.450195
18-12-2015,7828.899902,7836.149902,7753.350098,7761.950195,191400,7761.950195
